iter	Passed	Remaining
439	10711	1460
440	10728	1435
441	10748	1410
442	10766	1385
443	10786	1360
444	10815	1336
445	10836	1312
446	10867	1288
447	10887	1263
448	10911	1239
449	10931	1214
450	10953	1190
451	10982	1166
452	11014	1142
453	11037	1118
454	11060	1093
455	11086	1069
456	11108	1045
457	11129	1020
458	11156	996
459	11182	972
460	11212	948
461	11237	924
462	11262	900
463	11284	875
464	11307	851
465	11330	826
466	11353	802
467	11376	777
468	11401	753
469	11426	729
470	11448	704
471	11469	680
472	11494	656
473	11520	631
474	11542	607
475	11560	582
476	11581	558
477	11603	534
478	11627	509
479	11647	485
480	11666	460
481	11688	436
482	11709	412
483	11731	387
484	11755	363
485	11776	339
486	11798	314
487	11823	290
488	11844	266
489	11865	242
490	11895	218
491	11920	193
492	11944	169
493	11965	145
494	11986	121
495	12008	96
496	12028	72
497	12051	48
498	12074	24
499	12096	0
